Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
random_graph30-order250-edge_probability-0.8,250,24941,0.801,4,375,12,0.574
random_graph2-order25-edge_probability-0.5,25,159,0.53,5,37,11,0.001
random_graph9-order75-edge_probability-0.8,75,2206,0.795,4,112,8,0.042
random_graph18-order150-edge_probability-0.8,150,8973,0.803,4,225,11,0.087
random_graph5-order50-edge_probability-0.5,50,637,0.52,5,75,12,0.005
random_graph4-order50-edge_probability-0.2,50,256,0.209,12,75,29,0.005
random_graph24-order200-edge_probability-0.8,200,15947,0.801,4,300,12,0.446
random_graph23-order200-edge_probability-0.5,200,9932,0.499,6,300,21,0.382
random_graph29-order250-edge_probability-0.5,250,15602,0.501,6,375,20,0.547
random_graph8-order75-edge_probability-0.5,75,1393,0.502,6,112,18,0.033
random_graph25-order225-edge_probability-0.2,225,5082,0.202,13,337,50,0.397
random_graph11-order100-edge_probability-0.5,100,2490,0.503,6,150,17,0.032
random_graph1-order25-edge_probability-0.2,25,61,0.203,10,37,24,0.001
random_graph14-order125-edge_probability-0.5,125,3857,0.498,6,187,19,0.078
random_graph26-order225-edge_probability-0.5,225,12626,0.501,6,337,22,0.408
random_graph17-order150-edge_probability-0.5,150,5651,0.506,6,225,20,0.081
random_graph19-order175-edge_probability-0.2,175,3029,0.199,14,262,50,0.117
random_graph12-order100-edge_probability-0.8,100,3968,0.802,4,150,8,0.105
random_graph7-order75-edge_probability-0.2,75,549,0.198,13,112,39,0.018
random_graph20-order175-edge_probability-0.5,175,7577,0.498,6,262,20,0.268
random_graph6-order50-edge_probability-0.8,50,976,0.797,4,75,8,0.013
random_graph15-order125-edge_probability-0.8,125,6169,0.796,4,187,11,0.172
random_graph13-order125-edge_probability-0.2,125,1535,0.198,14,187,46,0.078
random_graph3-order25-edge_probability-0.8,25,235,0.783,4,37,7,0.002
random_graph22-order200-edge_probability-0.2,200,3904,0.196,15,300,53,0.2
random_graph10-order100-edge_probability-0.2,100,936,0.189,13,150,46,0.02
random_graph27-order225-edge_probability-0.8,225,20015,0.794,4,337,8,0.695
random_graph16-order150-edge_probability-0.2,150,2299,0.206,13,225,47,0.07
random_graph21-order175-edge_probability-0.8,175,12195,0.801,4,262,12,0.356
random_graph28-order250-edge_probability-0.2,250,6249,0.201,14,375,54,0.415
