Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
G11,800,1600,0.005,640,1200,813,2.3274
GD01_c,33,135,0.2557,6,57,28,0.0081
GD99_b,64,125,0.062,51,96,66,0.0206
Tina_DisCal,11,32,0.5818,4,16,8,0.0014
GD97_a,84,166,0.0476,67,126,86,0.0303
GD98_c,112,168,0.027,112,168,134,0.0546
GD96_b,111,193,0.0316,9,166,60,0.0783
GD98_b,121,132,0.0182,40,211,203,0.0928
Tina_DisCog,11,36,0.6545,4,16,7,0.0014
GD02_b,80,232,0.0734,40,120,61,0.0329
GD00_c,638,1020,0.005,45,1116,853,1.1056
494_bus,494,586,0.0048,197,864,659,0.6447
GD97_b,46,132,0.1275,7,69,36,0.0138
USAir97,332,2126,0.0387,9,581,359,0.5445
Stranke94,10,45,1.0,4,15,4,0.0014
Trefethen_300,300,2189,0.0488,70,450,128,0.4271
685_bus,685,1282,0.0055,210,1198,735,1.0088
LF10,18,32,0.2092,14,27,20,0.0032
Tina_AskCal,11,25,0.4545,5,16,8,0.0017
1138_bus,1138,1458,0.0023,252,1991,1473,2.6124
EX2,560,4368,0.0279,117,840,239,0.6886
Trefethen_20b,19,64,0.3743,8,28,12,0.0033
GD01_b,18,26,0.1699,14,27,22,0.0038
GD96_c,65,125,0.0601,37,97,61,0.0272
L,956,1820,0.004,764,1434,1053,3.7728
Tina_AskCog,11,27,0.4909,4,16,8,0.0017
GD98_a,38,46,0.0654,8,68,36,0.0092
LFAT5,14,16,0.1758,11,22,19,0.0022
CSphd,1882,1740,0.001,160,3311,2509,9.6409
EX1,560,4368,0.0279,117,840,252,0.6912
GD95_a,36,56,0.0889,16,63,43,0.0087
G1,800,19176,0.06,47,1200,165,2.8621
Ragusa18,23,51,0.2016,7,40,20,0.0045
GD06_theory,101,190,0.0376,20,151,35,0.0383
GD97_c,452,460,0.0045,23,790,155,0.9238
GD96_a,1096,1677,0.0028,39,1918,1360,6.2802
CAG_mat72,72,678,0.2653,5,126,18,0.023
GD96_d,180,228,0.0142,25,315,211,0.1911
G10,800,19176,0.06,45,1200,183,5.2129
GD00_a,352,384,0.0062,32,609,440,0.2411
M20PI_n,1182,1198,0.0017,363,2068,1590,4.6724
Chebyshev1,261,1542,0.0454,4,391,4,0.1172
CAG_mat364,364,10474,0.1585,6,637,35,0.5677
GD02_a,23,59,0.2332,4,40,8,0.0049
S10PI_n,682,689,0.003,303,1193,903,1.5672
Trefethen_150,150,945,0.0846,40,225,72,0.1242
GD95_c,62,144,0.0762,15,93,47,0.0191
DK01R,903,5641,0.0139,190,1353,462,1.1643
Harvard500,500,2043,0.0164,9,875,276,1.3886
GD99_c,105,120,0.022,70,183,134,0.0635
Ragusa16,24,58,0.2101,6,42,26,0.005
Trefethen_200,200,1345,0.0676,50,300,90,0.2061
08blocks,300,576,0.0128,31,448,32,0.1114
Hamrle1,32,90,0.1815,14,48,26,0.0077
Sandi_authors,86,124,0.0339,26,150,98,0.0361
Trefethen_200b,199,1337,0.0679,49,298,93,0.2005
