graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde1,961,1860,2,4,1066,768,1441,0.00403226,1.53285,1
cdde1,961,1860,2,4,1067,768,1441,0.00403226,1.37057,1
cdde1,961,1860,2,4,1057,768,1441,0.00403226,1.56907,1
cdde1,961,1860,2,4,1085,768,1441,0.00403226,1.33223,1
cdde1,961,1860,2,4,1077,768,1441,0.00403226,1.38176,1
cdde1,961,1860,2,4,1066,768,1441,0.00403226,1.62434,1
cdde1,961,1860,2,4,1068,768,1441,0.00403226,1.43217,1
cdde1,961,1860,2,4,1055,768,1441,0.00403226,1.47426,1
cdde1,961,1860,2,4,1043,768,1441,0.00403226,1.55753,1
cdde1,961,1860,2,4,1068,768,1441,0.00403226,1.38719,1
cdde1,961,1860,2,4,1062,768,1441,0.00403226,1.31533,1
cdde1,961,1860,2,4,1086,768,1441,0.00403226,1.45066,1
cdde1,961,1860,2,4,1078,768,1441,0.00403226,1.38032,1
cdde1,961,1860,2,4,1072,768,1441,0.00403226,1.39865,1
cdde1,961,1860,2,4,1059,768,1441,0.00403226,1.58452,1
