graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qc324,324,13203,81,82,16,15,486,0.252322,0.489958,1
qc324,324,13203,81,82,16,15,486,0.252322,0.478088,1
qc324,324,13203,81,82,16,15,486,0.252322,0.483866,1
qc324,324,13203,81,82,16,15,486,0.252322,0.47648,1
qc324,324,13203,81,82,16,15,486,0.252322,0.478326,1
qc324,324,13203,81,82,16,15,486,0.252322,0.476712,1
qc324,324,13203,81,82,16,15,486,0.252322,0.476378,1
qc324,324,13203,81,82,16,15,486,0.252322,0.476712,1
qc324,324,13203,81,82,16,15,486,0.252322,0.480047,1
qc324,324,13203,81,82,16,15,486,0.252322,0.475528,1
qc324,324,13203,81,82,16,15,486,0.252322,0.478247,1
qc324,324,13203,81,82,16,15,486,0.252322,0.477536,1
qc324,324,13203,81,82,16,15,486,0.252322,0.645197,1
qc324,324,13203,81,82,16,15,486,0.252322,0.538255,1
qc324,324,13203,81,82,16,15,486,0.252322,0.483765,1
