graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb450,450,1065,3,5,447,300,675,0.0105419,0.213889,1
rdb450,450,1065,3,5,449,300,675,0.0105419,0.209031,1
rdb450,450,1065,3,5,441,300,675,0.0105419,0.20878,1
rdb450,450,1065,3,5,450,300,675,0.0105419,0.205485,1
rdb450,450,1065,3,5,457,300,675,0.0105419,0.203454,1
rdb450,450,1065,3,5,430,300,675,0.0105419,0.208873,1
rdb450,450,1065,3,5,443,300,675,0.0105419,0.205788,1
rdb450,450,1065,3,5,450,300,675,0.0105419,0.212753,1
rdb450,450,1065,3,5,449,300,675,0.0105419,0.228693,1
rdb450,450,1065,3,5,444,300,675,0.0105419,0.211235,1
rdb450,450,1065,3,5,443,300,675,0.0105419,0.214518,1
rdb450,450,1065,3,5,445,300,675,0.0105419,0.212316,1
rdb450,450,1065,3,5,448,300,675,0.0105419,0.22826,1
rdb450,450,1065,3,5,451,300,675,0.0105419,0.2058,1
rdb450,450,1065,3,5,438,300,675,0.0105419,0.205854,1
