graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw496,496,1423,2,7,406,248,744,0.0115917,0.44002,1
rw496,496,1423,2,7,405,248,744,0.0115917,0.367909,1
rw496,496,1423,2,7,411,248,744,0.0115917,0.437832,1
rw496,496,1423,2,7,407,248,744,0.0115917,0.339631,1
rw496,496,1423,2,7,410,248,744,0.0115917,0.399579,1
rw496,496,1423,2,7,413,248,744,0.0115917,0.392228,1
rw496,496,1423,2,7,405,248,744,0.0115917,0.488182,1
rw496,496,1423,2,7,414,248,744,0.0115917,0.487151,1
rw496,496,1423,2,7,403,248,744,0.0115917,0.488607,1
rw496,496,1423,2,7,412,248,744,0.0115917,0.302905,1
rw496,496,1423,2,7,410,248,744,0.0115917,0.473029,1
rw496,496,1423,2,7,403,248,744,0.0115917,0.440594,1
rw496,496,1423,2,7,409,248,744,0.0115917,0.370202,1
rw496,496,1423,2,7,414,248,744,0.0115917,0.434729,1
rw496,496,1423,2,7,404,248,744,0.0115917,0.365892,1
