graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr05,443,590,1,9,571,177,775,0.00602637,0.397309,1
bcspwr05,443,590,1,9,574,177,775,0.00602637,0.425236,1
bcspwr05,443,590,1,9,576,177,775,0.00602637,0.404416,1
bcspwr05,443,590,1,9,574,177,775,0.00602637,0.377212,1
bcspwr05,443,590,1,9,574,177,775,0.00602637,0.412255,1
bcspwr05,443,590,1,9,561,177,775,0.00602637,0.444283,1
bcspwr05,443,590,1,9,568,177,775,0.00602637,0.41175,1
bcspwr05,443,590,1,9,565,177,775,0.00602637,0.395863,1
bcspwr05,443,590,1,9,570,177,775,0.00602637,0.420968,1
bcspwr05,443,590,1,9,569,177,775,0.00602637,0.383706,1
bcspwr05,443,590,1,9,567,177,775,0.00602637,0.443375,1
bcspwr05,443,590,1,9,560,177,775,0.00602637,0.417523,1
bcspwr05,443,590,1,9,566,177,775,0.00602637,0.41223,1
bcspwr05,443,590,1,9,566,177,775,0.00602637,0.430492,1
bcspwr05,443,590,1,9,580,177,775,0.00602637,0.442106,1
