graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0488028,1
bcsstk04,132,1758,14,45,43,11,198,0.203331,0.0497125,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0488077,1
bcsstk04,132,1758,14,45,32,11,198,0.203331,0.0555647,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0437837,1
bcsstk04,132,1758,14,45,43,11,198,0.203331,0.0449472,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0451898,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0439826,1
bcsstk04,132,1758,14,45,43,11,198,0.203331,0.042227,1
bcsstk04,132,1758,14,45,36,11,198,0.203331,0.0458388,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0432427,1
bcsstk04,132,1758,14,45,42,11,198,0.203331,0.043427,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0456022,1
bcsstk04,132,1758,14,45,40,11,198,0.203331,0.0431488,1
bcsstk04,132,1758,14,45,36,11,198,0.203331,0.0532332,1
