graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___73,73,152,2,8,83,32,109,0.0578387,0.0160154,1
can___73,73,152,2,8,76,32,109,0.0578387,0.0169529,1
can___73,73,152,2,8,81,32,109,0.0578387,0.014199,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0169507,1
can___73,73,152,2,8,85,32,109,0.0578387,0.0173111,1
can___73,73,152,2,8,78,32,109,0.0578387,0.015329,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0157187,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0139602,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0169905,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0154858,1
can___73,73,152,2,8,78,32,109,0.0578387,0.019585,1
can___73,73,152,2,8,75,32,109,0.0578387,0.0154876,1
can___73,73,152,2,8,85,32,109,0.0578387,0.0159183,1
can___73,73,152,2,8,85,32,109,0.0578387,0.0146793,1
can___73,73,152,2,8,78,32,109,0.0578387,0.0132776,1
