graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde4,961,1860,2,4,1077,768,1441,0.00403226,1.27313,1
cdde4,961,1860,2,4,1073,768,1441,0.00403226,1.14696,1
cdde4,961,1860,2,4,1070,768,1441,0.00403226,1.26907,1
cdde4,961,1860,2,4,1060,768,1441,0.00403226,1.4476,1
cdde4,961,1860,2,4,1053,768,1441,0.00403226,1.2609,1
cdde4,961,1860,2,4,1069,768,1441,0.00403226,1.35536,1
cdde4,961,1860,2,4,1081,768,1441,0.00403226,1.3635,1
cdde4,961,1860,2,4,1072,768,1441,0.00403226,1.25797,1
cdde4,961,1860,2,4,1074,768,1441,0.00403226,1.59915,1
cdde4,961,1860,2,4,1071,768,1441,0.00403226,1.41111,1
cdde4,961,1860,2,4,1065,768,1441,0.00403226,1.43877,1
cdde4,961,1860,2,4,1080,768,1441,0.00403226,1.3815,1
cdde4,961,1860,2,4,1052,768,1441,0.00403226,1.24498,1
cdde4,961,1860,2,4,1064,768,1441,0.00403226,1.33671,1
cdde4,961,1860,2,4,1074,768,1441,0.00403226,1.38457,1
