graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__193,193,1650,7,29,59,25,289,0.0890544,0.073379,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0724905,1
dwt__193,193,1650,7,29,66,25,289,0.0890544,0.0719106,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0734165,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0719644,1
dwt__193,193,1650,7,29,65,25,289,0.0890544,0.0712953,1
dwt__193,193,1650,7,29,62,25,289,0.0890544,0.071334,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0718745,1
dwt__193,193,1650,7,29,64,25,289,0.0890544,0.074058,1
dwt__193,193,1650,7,29,65,25,289,0.0890544,0.0711306,1
dwt__193,193,1650,7,29,68,25,289,0.0890544,0.0726173,1
dwt__193,193,1650,7,29,59,25,289,0.0890544,0.0725468,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0722237,1
dwt__193,193,1650,7,29,65,25,289,0.0890544,0.0722848,1
dwt__193,193,1650,7,29,65,25,289,0.0890544,0.0715161,1
