graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_680_2,680,1464,1,13,921,194,1190,0.00634151,1.03157,1
fs_680_2,680,1464,1,13,943,194,1190,0.00634151,0.962857,1
fs_680_2,680,1464,1,13,939,194,1190,0.00634151,0.994919,1
fs_680_2,680,1464,1,13,932,194,1190,0.00634151,0.972978,1
fs_680_2,680,1464,1,13,924,194,1190,0.00634151,1.06164,1
fs_680_2,680,1464,1,13,925,194,1190,0.00634151,1.01766,1
fs_680_2,680,1464,1,13,915,194,1190,0.00634151,1.11787,1
fs_680_2,680,1464,1,13,920,194,1190,0.00634151,1.07814,1
fs_680_2,680,1464,1,13,927,194,1190,0.00634151,1.19427,1
fs_680_2,680,1464,1,13,925,194,1190,0.00634151,1.05231,1
fs_680_2,680,1464,1,13,928,194,1190,0.00634151,0.98943,1
fs_680_2,680,1464,1,13,915,194,1190,0.00634151,1.01082,1
fs_680_2,680,1464,1,13,924,194,1190,0.00634151,1.09004,1
fs_680_2,680,1464,1,13,931,194,1190,0.00634151,1.03221,1
fs_680_2,680,1464,1,13,919,194,1190,0.00634151,1.17689,1
