graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
olm100,100,197,2,5,72,66,150,0.039798,0.0239284,1
olm100,100,197,2,5,72,66,150,0.039798,0.0294742,1
olm100,100,197,2,5,78,66,150,0.039798,0.0310566,1
olm100,100,197,2,5,74,66,150,0.039798,0.0280704,1
olm100,100,197,2,5,72,66,150,0.039798,0.0226411,1
olm100,100,197,2,5,76,66,150,0.039798,0.0270897,1
olm100,100,197,2,5,75,66,150,0.039798,0.0327869,1
olm100,100,197,2,5,74,66,150,0.039798,0.0281649,1
olm100,100,197,2,5,76,66,150,0.039798,0.025999,1
olm100,100,197,2,5,72,66,150,0.039798,0.0254888,1
olm100,100,197,2,5,73,66,150,0.039798,0.0230836,1
olm100,100,197,2,5,72,66,150,0.039798,0.0248013,1
olm100,100,197,2,5,72,66,150,0.039798,0.030498,1
olm100,100,197,2,5,72,66,150,0.039798,0.0261066,1
olm100,100,197,2,5,74,66,150,0.039798,0.025865,1
