graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qc324,324,13203,81,82,16,15,486,0.252322,0.632459,1
qc324,324,13203,81,82,16,15,486,0.252322,0.659652,1
qc324,324,13203,81,82,16,15,486,0.252322,0.629247,1
qc324,324,13203,81,82,16,15,486,0.252322,0.616094,1
qc324,324,13203,81,82,16,15,486,0.252322,0.673168,1
qc324,324,13203,81,82,16,15,486,0.252322,0.667786,1
qc324,324,13203,81,82,16,15,486,0.252322,0.62753,1
qc324,324,13203,81,82,16,15,486,0.252322,0.634508,1
qc324,324,13203,81,82,16,15,486,0.252322,0.691981,1
qc324,324,13203,81,82,16,15,486,0.252322,0.647613,1
qc324,324,13203,81,82,16,15,486,0.252322,0.640041,1
qc324,324,13203,81,82,16,15,486,0.252322,0.620323,1
qc324,324,13203,81,82,16,15,486,0.252322,0.618236,1
qc324,324,13203,81,82,16,15,486,0.252322,0.624741,1
qc324,324,13203,81,82,16,15,486,0.252322,0.639639,1
