graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
shl__400,663,1709,2,425,477,6,994,0.00778754,1.37979,1
shl__400,663,1709,2,425,479,6,994,0.00778754,1.24911,1
shl__400,663,1709,2,425,479,6,994,0.00778754,1.13631,1
shl__400,663,1709,2,425,481,6,994,0.00778754,1.3059,1
shl__400,663,1709,2,425,481,6,994,0.00778754,1.25585,1
shl__400,663,1709,2,425,480,6,994,0.00778754,1.20719,1
shl__400,663,1709,2,425,478,6,994,0.00778754,1.28544,1
shl__400,663,1709,2,425,476,6,994,0.00778754,1.24483,1
shl__400,663,1709,2,425,479,6,994,0.00778754,1.20281,1
shl__400,663,1709,2,425,478,6,994,0.00778754,1.29326,1
shl__400,663,1709,2,425,484,6,994,0.00778754,1.14015,1
shl__400,663,1709,2,425,478,6,994,0.00778754,1.57198,1
shl__400,663,1709,2,425,476,6,994,0.00778754,1.52562,1
shl__400,663,1709,2,425,475,6,994,0.00778754,1.35589,1
shl__400,663,1709,2,425,477,6,994,0.00778754,1.19544,1
