graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
CSphd,1882,1740,1,46,2511,160,3311,0.000983039,12.6662,1
CSphd,1882,1740,1,46,2520,160,3311,0.000983039,13.3912,1
CSphd,1882,1740,1,46,2516,160,3311,0.000983039,11.2253,1
CSphd,1882,1740,1,46,2511,160,3311,0.000983039,10.7214,1
CSphd,1882,1740,1,46,2511,160,3311,0.000983039,10.8373,1
CSphd,1882,1740,1,46,2515,160,3311,0.000983039,11.3093,1
CSphd,1882,1740,1,46,2512,160,3311,0.000983039,12.7002,1
CSphd,1882,1740,1,46,2513,160,3311,0.000983039,11.1075,1
CSphd,1882,1740,1,46,2531,160,3311,0.000983039,9.83853,1
CSphd,1882,1740,1,46,2509,160,3311,0.000983039,10.7022,1
CSphd,1882,1740,1,46,2522,160,3311,0.000983039,11.1268,1
CSphd,1882,1740,1,46,2519,160,3311,0.000983039,10.7481,1
CSphd,1882,1740,1,46,2515,160,3311,0.000983039,10.5843,1
CSphd,1882,1740,1,46,2512,160,3311,0.000983039,10.0864,1
CSphd,1882,1740,1,46,2516,160,3311,0.000983039,9.64093,1
