graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00533681,1
Ragusa16,24,58,1,14,27,6,42,0.210145,0.00540596,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.0060328,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00587146,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00537443,1
Ragusa16,24,58,1,14,27,6,42,0.210145,0.00597727,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00542524,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00509622,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00499831,1
Ragusa16,24,58,1,14,27,6,42,0.210145,0.00545707,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00498184,1
Ragusa16,24,58,1,14,29,6,42,0.210145,0.00548458,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00530981,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00590726,1
Ragusa16,24,58,1,14,26,6,42,0.210145,0.00504743,1
