graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr04,274,669,1,15,286,68,479,0.0178872,0.174969,1
bcspwr04,274,669,1,15,293,68,479,0.0178872,0.155968,1
bcspwr04,274,669,1,15,292,68,479,0.0178872,0.166651,1
bcspwr04,274,669,1,15,291,68,479,0.0178872,0.167855,1
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.193456,1
bcspwr04,274,669,1,15,287,68,479,0.0178872,0.183527,1
bcspwr04,274,669,1,15,282,68,479,0.0178872,0.186957,1
bcspwr04,274,669,1,15,284,68,479,0.0178872,0.165789,1
bcspwr04,274,669,1,15,296,68,479,0.0178872,0.162233,1
bcspwr04,274,669,1,15,283,68,479,0.0178872,0.129134,1
bcspwr04,274,669,1,15,290,68,479,0.0178872,0.196223,1
bcspwr04,274,669,1,15,292,68,479,0.0178872,0.146346,1
bcspwr04,274,669,1,15,282,68,479,0.0178872,0.151185,1
bcspwr04,274,669,1,15,286,68,479,0.0178872,0.186766,1
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.177286,1
