graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___24,24,68,3,8,16,10,36,0.246377,0.00194772,1
can___24,24,68,3,8,16,10,36,0.246377,0.00143885,1
can___24,24,68,3,8,18,10,36,0.246377,0.00170264,1
can___24,24,68,3,8,22,10,36,0.246377,0.00145606,1
can___24,24,68,3,8,16,10,36,0.246377,0.0014956,1
can___24,24,68,3,8,16,10,36,0.246377,0.00167201,1
can___24,24,68,3,8,16,10,36,0.246377,0.00154039,1
can___24,24,68,3,8,16,10,36,0.246377,0.00159919,1
can___24,24,68,3,8,18,10,36,0.246377,0.00177215,1
can___24,24,68,3,8,16,10,36,0.246377,0.00179642,1
can___24,24,68,3,8,16,10,36,0.246377,0.00178409,1
can___24,24,68,3,8,16,10,36,0.246377,0.0014934,1
can___24,24,68,3,8,16,10,36,0.246377,0.00162701,1
can___24,24,68,3,8,16,10,36,0.246377,0.00144867,1
can___24,24,68,3,8,16,10,36,0.246377,0.00151515,1
