graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___87,87,227,1,12,68,26,152,0.060679,0.018816,1
dwt___87,87,227,1,12,67,26,152,0.060679,0.0172166,1
dwt___87,87,227,1,12,64,26,152,0.060679,0.0170911,1
dwt___87,87,227,1,12,71,26,152,0.060679,0.0166145,1
dwt___87,87,227,1,12,65,26,152,0.060679,0.0164766,1
dwt___87,87,227,1,12,64,26,152,0.060679,0.0191552,1
dwt___87,87,227,1,12,70,26,152,0.060679,0.0168671,1
dwt___87,87,227,1,12,64,26,152,0.060679,0.0193171,1
dwt___87,87,227,1,12,68,26,152,0.060679,0.01623,1
dwt___87,87,227,1,12,67,26,152,0.060679,0.0196403,1
dwt___87,87,227,1,12,68,26,152,0.060679,0.0174787,1
dwt___87,87,227,1,12,64,26,152,0.060679,0.0184375,1
dwt___87,87,227,1,12,67,26,152,0.060679,0.0186526,1
dwt___87,87,227,1,12,65,26,152,0.060679,0.0195476,1
dwt___87,87,227,1,12,71,26,152,0.060679,0.0189417,1
