graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0957729,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.09053,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0817417,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0894842,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0874403,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0778714,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0797388,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0864956,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0908781,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.080056,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0736317,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.07162,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0902786,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0732725,1
fs_183_1,183,701,1,104,174,6,320,0.0420945,0.0771915,1
