graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gent113,113,549,0,26,106,16,183,0.0867573,0.0279464,1
gent113,113,549,0,26,108,16,183,0.0867573,0.0291782,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0268373,1
gent113,113,549,0,26,108,16,183,0.0867573,0.0264163,1
gent113,113,549,0,26,108,16,183,0.0867573,0.0301388,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0291252,1
gent113,113,549,0,26,106,16,183,0.0867573,0.032217,1
gent113,113,549,0,26,106,16,183,0.0867573,0.029627,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0308423,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0307916,1
gent113,113,549,0,26,110,16,183,0.0867573,0.0297833,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0316033,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0320109,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0272908,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0318251,1
