graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw136,136,373,2,7,122,68,204,0.0406318,0.0413087,1
rw136,136,373,2,7,117,68,204,0.0406318,0.0566626,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0330663,1
rw136,136,373,2,7,116,68,204,0.0406318,0.040406,1
rw136,136,373,2,7,118,68,204,0.0406318,0.0452057,1
rw136,136,373,2,7,113,68,204,0.0406318,0.0456716,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0407315,1
rw136,136,373,2,7,117,68,204,0.0406318,0.0346372,1
rw136,136,373,2,7,113,68,204,0.0406318,0.0408506,1
rw136,136,373,2,7,121,68,204,0.0406318,0.0448252,1
rw136,136,373,2,7,118,68,204,0.0406318,0.0401246,1
rw136,136,373,2,7,116,68,204,0.0406318,0.0347463,1
rw136,136,373,2,7,120,68,204,0.0406318,0.044246,1
rw136,136,373,2,7,113,68,204,0.0406318,0.0409293,1
rw136,136,373,2,7,120,68,204,0.0406318,0.041318,1
