graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
steam3,80,424,7,11,32,26,120,0.134177,0.0115428,1
steam3,80,424,7,11,32,26,120,0.134177,0.0113641,1
steam3,80,424,7,11,32,26,120,0.134177,0.0115293,1
steam3,80,424,7,11,36,26,120,0.134177,0.0114937,1
steam3,80,424,7,11,32,26,120,0.134177,0.011369,1
steam3,80,424,7,11,32,26,120,0.134177,0.0113281,1
steam3,80,424,7,11,32,26,120,0.134177,0.0114536,1
steam3,80,424,7,11,32,26,120,0.134177,0.01128,1
steam3,80,424,7,11,32,26,120,0.134177,0.0114564,1
steam3,80,424,7,11,32,26,120,0.134177,0.0114171,1
steam3,80,424,7,11,32,26,120,0.134177,0.0114125,1
steam3,80,424,7,11,32,26,120,0.134177,0.0115425,1
steam3,80,424,7,11,36,26,120,0.134177,0.0113741,1
steam3,80,424,7,11,28,26,120,0.134177,0.0114536,1
steam3,80,424,7,11,36,26,120,0.134177,0.0114081,1
