graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
will199,199,660,2,13,156,56,298,0.0335008,0.125107,1
will199,199,660,2,13,149,56,298,0.0335008,0.122278,1
will199,199,660,2,13,157,56,298,0.0335008,0.117691,1
will199,199,660,2,13,150,56,298,0.0335008,0.110531,1
will199,199,660,2,13,155,56,298,0.0335008,0.103158,1
will199,199,660,2,13,157,56,298,0.0335008,0.112061,1
will199,199,660,2,13,152,56,298,0.0335008,0.102796,1
will199,199,660,2,13,144,56,298,0.0335008,0.127481,1
will199,199,660,2,13,151,56,298,0.0335008,0.102086,1
will199,199,660,2,13,159,56,298,0.0335008,0.121097,1
will199,199,660,2,13,156,56,298,0.0335008,0.1158,1
will199,199,660,2,13,160,56,298,0.0335008,0.101266,1
will199,199,660,2,13,145,56,298,0.0335008,0.109631,1
will199,199,660,2,13,161,56,298,0.0335008,0.123046,1
will199,199,660,2,13,148,56,298,0.0335008,0.11219,1
