graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD01_b,18,26,2,4,22,14,27,0.169935,0.00175013,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00178293,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00155557,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00160472,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00141968,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00146551,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00152724,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00115831,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00139224,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00147873,1
GD01_b,18,26,2,4,24,14,27,0.169935,0.00171918,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00134069,1
GD01_b,18,26,2,4,24,14,27,0.169935,0.00162977,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00131127,1
GD01_b,18,26,2,4,22,14,27,0.169935,0.00133776,1
