graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Hamrle1,32,90,4,8,26,14,48,0.181452,0.00283457,1
Hamrle1,32,90,4,8,30,14,48,0.181452,0.00309335,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00264932,1
Hamrle1,32,90,4,8,29,14,48,0.181452,0.00279097,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00288908,1
Hamrle1,32,90,4,8,26,14,48,0.181452,0.00275323,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00294403,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00269897,1
Hamrle1,32,90,4,8,26,14,48,0.181452,0.00269312,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00277578,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00269614,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00275953,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00274362,1
Hamrle1,32,90,4,8,26,14,48,0.181452,0.00301441,1
Hamrle1,32,90,4,8,27,14,48,0.181452,0.00263907,1
