graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.0952421,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.131975,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.0959449,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.093625,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.104963,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.110246,1
cycle7-order175,175,175,2,2,240,-1,262,0.0114943,0.116272,1
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.105107,1
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.114496,1
cycle7-order175,175,175,2,2,238,-1,262,0.0114943,0.106068,1
cycle7-order175,175,175,2,2,238,-1,262,0.0114943,0.106919,1
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.097374,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.111642,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.127692,1
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.105138,1
