graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__209,209,767,3,16,145,49,313,0.0352871,0.162346,1
dwt__209,209,767,3,16,150,49,313,0.0352871,0.21504,1
dwt__209,209,767,3,16,143,49,313,0.0352871,0.186183,1
dwt__209,209,767,3,16,140,49,313,0.0352871,0.176218,1
dwt__209,209,767,3,16,144,49,313,0.0352871,0.178322,1
dwt__209,209,767,3,16,146,49,313,0.0352871,0.183724,1
dwt__209,209,767,3,16,143,49,313,0.0352871,0.176063,1
dwt__209,209,767,3,16,145,49,313,0.0352871,0.186825,1
dwt__209,209,767,3,16,144,49,313,0.0352871,0.217206,1
dwt__209,209,767,3,16,132,49,313,0.0352871,0.18031,1
dwt__209,209,767,3,16,145,49,313,0.0352871,0.196705,1
dwt__209,209,767,3,16,144,49,313,0.0352871,0.180912,1
dwt__209,209,767,3,16,149,49,313,0.0352871,0.230785,1
dwt__209,209,767,3,16,140,49,313,0.0352871,0.166497,1
dwt__209,209,767,3,16,144,49,313,0.0352871,0.194543,1
