graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ibm32,32,90,3,11,28,10,48,0.181452,0.00764998,1
ibm32,32,90,3,11,28,10,48,0.181452,0.0095594,1
ibm32,32,90,3,11,28,10,48,0.181452,0.0101631,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00901186,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00792394,1
ibm32,32,90,3,11,31,10,48,0.181452,0.00698977,1
ibm32,32,90,3,11,31,10,48,0.181452,0.00827068,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00879532,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00918595,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00713883,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00913117,1
ibm32,32,90,3,11,28,10,48,0.181452,0.0085967,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00953764,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00860384,1
ibm32,32,90,3,11,29,10,48,0.181452,0.0071255,1
