graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD99_c,105,120,1,5,132,70,183,0.021978,0.0744979,1
GD99_c,105,120,1,5,138,70,183,0.021978,0.0601976,1
GD99_c,105,120,1,5,140,70,183,0.021978,0.0617839,1
GD99_c,105,120,1,5,133,70,183,0.021978,0.0585067,1
GD99_c,105,120,1,5,137,70,183,0.021978,0.0569957,1
GD99_c,105,120,1,5,146,70,183,0.021978,0.0620189,1
GD99_c,105,120,1,5,140,70,183,0.021978,0.0614814,1
GD99_c,105,120,1,5,137,70,183,0.021978,0.0558175,1
GD99_c,105,120,1,5,139,70,183,0.021978,0.0735884,1
GD99_c,105,120,1,5,139,70,183,0.021978,0.0592462,1
GD99_c,105,120,1,5,139,70,183,0.021978,0.0552058,1
GD99_c,105,120,1,5,137,70,183,0.021978,0.0634225,1
GD99_c,105,120,1,5,136,70,183,0.021978,0.0529052,1
GD99_c,105,120,1,5,138,70,183,0.021978,0.0549092,1
GD99_c,105,120,1,5,133,70,183,0.021978,0.0740665,1
