graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00387291,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.0038358,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.0033763,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00348715,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00345182,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.0039025,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00335005,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.0033385,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00363305,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00332691,1
Ragusa18,23,51,1,12,34,7,40,0.201581,0.00333885,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00369689,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00332993,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00335524,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00332965,1
