graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Trefethen_20b,19,64,5,8,15,8,28,0.374269,0.00271986,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00265243,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00269475,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00264725,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00272411,1
Trefethen_20b,19,64,5,8,15,8,28,0.374269,0.00258864,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00257385,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.0027161,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00270553,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.0025963,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00267414,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00260751,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00260586,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00262619,1
Trefethen_20b,19,64,5,8,12,8,28,0.374269,0.00260201,1
