graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
USAir97,332,2126,1,139,360,9,581,0.0386925,0.483146,1
USAir97,332,2126,1,139,364,9,581,0.0386925,0.429684,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.431192,1
USAir97,332,2126,1,139,368,9,581,0.0386925,0.508688,1
USAir97,332,2126,1,139,361,9,581,0.0386925,0.488843,1
USAir97,332,2126,1,139,361,9,581,0.0386925,0.507197,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.460592,1
USAir97,332,2126,1,139,363,9,581,0.0386925,0.415535,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.544192,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.498798,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.540607,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.609205,1
USAir97,332,2126,1,139,364,9,581,0.0386925,0.512392,1
USAir97,332,2126,1,139,364,9,581,0.0386925,0.480424,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.52543,1
