graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree1_order25,25,24,1,5,38,16,43,0.08,0.00404318,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00401315,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00400186,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00383346,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.0042646,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00381598,1
tree1_order25,25,24,1,5,37,16,43,0.08,0.00379457,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00394753,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.0037912,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00368064,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00401841,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00376628,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00415511,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00431803,1
tree1_order25,25,24,1,5,36,16,43,0.08,0.00364479,1
