graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
random_graph4-order50-edge_probability-0.2,50,256,4,15,30,12,75,0.20898,0.0188084,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,30,12,75,0.20898,0.0200842,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,32,12,75,0.20898,0.014802,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,31,12,75,0.20898,0.0180093,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,28,12,75,0.20898,0.0150054,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,29,12,75,0.20898,0.0199755,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,28,12,75,0.20898,0.0204271,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,30,12,75,0.20898,0.0206462,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,30,12,75,0.20898,0.0168803,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,29,12,75,0.20898,0.019222,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,30,12,75,0.20898,0.0174933,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,31,12,75,0.20898,0.0230193,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,33,12,75,0.20898,0.0193639,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,32,12,75,0.20898,0.015687,1
random_graph4-order50-edge_probability-0.2,50,256,4,15,32,12,75,0.20898,0.0196559,1
