graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00113757,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00108579,1
bcsstk01,48,176,4,11,31,16,72,0.156028,0.00105482,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00107863,1
bcsstk01,48,176,4,11,32,16,72,0.156028,0.00105879,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00102888,1
bcsstk01,48,176,4,11,34,16,72,0.156028,0.00108623,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00104321,1
bcsstk01,48,176,4,11,31,16,72,0.156028,0.00102727,1
bcsstk01,48,176,4,11,28,16,72,0.156028,0.000967817,1
bcsstk01,48,176,4,11,35,16,72,0.156028,0.00102416,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00101642,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00102927,1
bcsstk01,48,176,4,11,27,16,72,0.156028,0.00103701,1
bcsstk01,48,176,4,11,31,16,72,0.156028,0.000985394,1
