graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cavity02,317,4237,8,61,78,20,475,0.0845945,0.0381171,1
cavity02,317,4237,8,61,40,20,475,0.0845945,0.0381922,1
cavity02,317,4237,8,61,54,20,475,0.0845945,0.0380041,1
cavity02,317,4237,8,61,44,20,475,0.0845945,0.0377145,1
cavity02,317,4237,8,61,51,20,475,0.0845945,0.0377228,1
cavity02,317,4237,8,61,44,20,475,0.0845945,0.0378101,1
cavity02,317,4237,8,61,54,20,475,0.0845945,0.0375304,1
cavity02,317,4237,8,61,44,20,475,0.0845945,0.0389745,1
cavity02,317,4237,8,61,61,20,475,0.0845945,0.0375616,1
cavity02,317,4237,8,61,51,20,475,0.0845945,0.0375113,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.0471851,1
cavity02,317,4237,8,61,66,20,475,0.0845945,0.0405561,1
cavity02,317,4237,8,61,54,20,475,0.0845945,0.0408007,1
cavity02,317,4237,8,61,40,20,475,0.0845945,0.0392911,1
cavity02,317,4237,8,61,47,20,475,0.0845945,0.0376768,1
