graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__193,193,1650,7,29,62,25,289,0.0890544,0.0155553,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.014837,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0146652,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0146448,1
dwt__193,193,1650,7,29,69,25,289,0.0890544,0.0145509,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0147184,1
dwt__193,193,1650,7,29,69,25,289,0.0890544,0.0144742,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0144341,1
dwt__193,193,1650,7,29,65,25,289,0.0890544,0.0143697,1
dwt__193,193,1650,7,29,73,25,289,0.0890544,0.0143192,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0143551,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.014467,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0147675,1
dwt__193,193,1650,7,29,61,25,289,0.0890544,0.0152596,1
dwt__193,193,1650,7,29,62,25,289,0.0890544,0.0151924,1
