graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00138908,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00130388,1
dwt___66,66,127,1,5,66,44,115,0.0592075,0.00133515,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00135369,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00130596,1
dwt___66,66,127,1,5,63,44,115,0.0592075,0.00131613,1
dwt___66,66,127,1,5,64,44,115,0.0592075,0.00133179,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00130303,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00132635,1
dwt___66,66,127,1,5,64,44,115,0.0592075,0.00130705,1
dwt___66,66,127,1,5,64,44,115,0.0592075,0.00137447,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00127749,1
dwt___66,66,127,1,5,68,44,115,0.0592075,0.00135513,1
dwt___66,66,127,1,5,66,44,115,0.0592075,0.00133525,1
dwt___66,66,127,1,5,62,44,115,0.0592075,0.00131159,1
