graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0242602,1
e05r0400,236,2847,8,61,49,15,354,0.102669,0.0267525,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0336861,1
e05r0400,236,2847,8,61,44,15,354,0.102669,0.0271296,1
e05r0400,236,2847,8,61,45,15,354,0.102669,0.0244104,1
e05r0400,236,2847,8,61,53,15,354,0.102669,0.0288685,1
e05r0400,236,2847,8,61,49,15,354,0.102669,0.0293286,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0297739,1
e05r0400,236,2847,8,61,45,15,354,0.102669,0.0257976,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0247773,1
e05r0400,236,2847,8,61,44,15,354,0.102669,0.0312935,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0267816,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0241085,1
e05r0400,236,2847,8,61,44,15,354,0.102669,0.0257152,1
e05r0400,236,2847,8,61,40,15,354,0.102669,0.0256473,1
