graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gent113,113,549,0,26,106,16,183,0.0867573,0.00500176,1
gent113,113,549,0,26,108,16,183,0.0867573,0.00435956,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00447976,1
gent113,113,549,0,26,115,16,183,0.0867573,0.00486441,1
gent113,113,549,0,26,111,16,183,0.0867573,0.00439261,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00435073,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00441225,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00429616,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00434656,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00436957,1
gent113,113,549,0,26,108,16,183,0.0867573,0.00441444,1
gent113,113,549,0,26,111,16,183,0.0867573,0.00437353,1
gent113,113,549,0,26,108,16,183,0.0867573,0.00433561,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00444259,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00440412,1
