graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD96_d,180,228,1,27,212,25,315,0.0141527,0.00677806,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.00620023,1
GD96_d,180,228,1,27,213,25,315,0.0141527,0.00620394,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.00629621,1
GD96_d,180,228,1,27,212,25,315,0.0141527,0.0062664,1
GD96_d,180,228,1,27,213,25,315,0.0141527,0.00631476,1
GD96_d,180,228,1,27,213,25,315,0.0141527,0.0065,1
GD96_d,180,228,1,27,216,25,315,0.0141527,0.00650312,1
GD96_d,180,228,1,27,214,25,315,0.0141527,0.00615838,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.00846795,1
GD96_d,180,228,1,27,212,25,315,0.0141527,0.00603682,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.006012,1
GD96_d,180,228,1,27,214,25,315,0.0141527,0.00639903,1
GD96_d,180,228,1,27,212,25,315,0.0141527,0.00704087,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.00645352,1
