graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Stranke94,10,45,9,9,4,4,15,1,0.000129862,1
Stranke94,10,45,9,9,4,4,15,1,0.00012143,1
Stranke94,10,45,9,9,4,4,15,1,8.7173e-05,1
Stranke94,10,45,9,9,4,4,15,1,0.000102674,1
Stranke94,10,45,9,9,4,4,15,1,0.000101551,1
Stranke94,10,45,9,9,4,4,15,1,8.769e-05,1
Stranke94,10,45,9,9,4,4,15,1,8.8071e-05,1
Stranke94,10,45,9,9,4,4,15,1,8.9376e-05,1
Stranke94,10,45,9,9,4,4,15,1,0.000102295,1
Stranke94,10,45,9,9,4,4,15,1,8.7407e-05,1
Stranke94,10,45,9,9,4,4,15,1,9.2485e-05,1
Stranke94,10,45,9,9,4,4,15,1,8.7982e-05,1
Stranke94,10,45,9,9,4,4,15,1,9.1079e-05,1
Stranke94,10,45,9,9,4,4,15,1,8.7534e-05,1
Stranke94,10,45,9,9,4,4,15,1,8.9234e-05,1
