graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
USAir97,332,2126,1,139,360,9,581,0.0386925,0.036014,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.0317678,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.0311462,1
USAir97,332,2126,1,139,361,9,581,0.0386925,0.0314839,1
USAir97,332,2126,1,139,367,9,581,0.0386925,0.0338915,1
USAir97,332,2126,1,139,362,9,581,0.0386925,0.0358532,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.0352116,1
USAir97,332,2126,1,139,363,9,581,0.0386925,0.0342195,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.0327212,1
USAir97,332,2126,1,139,361,9,581,0.0386925,0.0327599,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.0332321,1
USAir97,332,2126,1,139,360,9,581,0.0386925,0.0357102,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.0382581,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.0335608,1
USAir97,332,2126,1,139,359,9,581,0.0386925,0.0353114,1
