graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path1-order25,25,24,1,2,35,-1,43,0.08,0.000355881,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000300357,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000365803,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000307862,1
path1-order25,25,24,1,2,36,-1,43,0.08,0.000299037,1
path1-order25,25,24,1,2,36,-1,43,0.08,0.000300276,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.00030429,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000299028,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000294388,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000346991,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000295366,1
path1-order25,25,24,1,2,36,-1,43,0.08,0.000309487,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000309452,1
path1-order25,25,24,1,2,36,-1,43,0.08,0.00029967,1
path1-order25,25,24,1,2,35,-1,43,0.08,0.000304921,1
