graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star7-order175,175,174,1,174,522,4,306,0.0114286,0.00555777,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00533479,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00531688,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00531265,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00530516,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00529561,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00537157,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00535158,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00531191,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00528331,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00532149,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00527976,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.005292,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00524048,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00534849,1
