graph_name,graph_order,graph_size,graph_max_degree,GA_Fitness_Heuristic1,ACO_Fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./input_files/can__268.txt,268,1407,36,216,227,29,402,39.3418,6.65252
./input_files/can__268.txt,268,1407,36,219,205,29,402,37.3945,1.63192
./input_files/can__268.txt,268,1407,36,211,194,29,402,36.8901,1.60798
./input_files/can__268.txt,268,1407,36,231,197,29,402,36.7061,1.64333
./input_files/can__268.txt,268,1407,36,191,216,29,402,37.1328,1.67434
./input_files/can__268.txt,268,1407,36,199,205,29,402,36.4508,1.65659
./input_files/can__268.txt,268,1407,36,235,194,29,402,36.5039,1.54972
./input_files/can__268.txt,268,1407,36,248,185,29,402,36.6925,1.52973
./input_files/can__268.txt,268,1407,36,199,176,29,402,36.5861,1.54543
./input_files/can__268.txt,268,1407,36,235,170,29,402,36.7533,1.54338
