graph_name,graph_order,graph_size,graph_max_degree,GA_Fitness_Heuristic1,ACO_Fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./input_files/dwt__346.txt,346,1440,18,335,343,73,519,45.6132,11.113
./input_files/dwt__346.txt,346,1440,18,355,351,73,519,41.6951,2.80604
./input_files/dwt__346.txt,346,1440,18,375,347,73,519,41.7529,2.86875
./input_files/dwt__346.txt,346,1440,18,343,334,73,519,42.1194,2.8875
./input_files/dwt__346.txt,346,1440,18,359,336,73,519,42.0577,2.94074
./input_files/dwt__346.txt,346,1440,18,351,341,73,519,41.761,2.93418
./input_files/dwt__346.txt,346,1440,18,347,330,73,519,42.0265,2.87026
./input_files/dwt__346.txt,346,1440,18,360,323,73,519,41.8308,2.87158
./input_files/dwt__346.txt,346,1440,18,383,318,73,519,41.6416,2.85664
./input_files/dwt__346.txt,346,1440,18,343,332,73,519,41.8312,2.86711
