graph_name,graph_order,graph_size,graph_max_degree,GA_Fitness_Heuristic1,ACO_Fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./input_files/dwt___66.txt,66,127,5,75,81,44,99,18.0874,0.827231
./input_files/dwt___66.txt,66,127,5,79,77,44,99,17.8301,0.237694
./input_files/dwt___66.txt,66,127,5,79,78,44,99,17.789,0.237172
./input_files/dwt___66.txt,66,127,5,80,80,44,99,17.7011,0.23825
./input_files/dwt___66.txt,66,127,5,71,80,44,99,18.0012,0.241436
./input_files/dwt___66.txt,66,127,5,72,85,44,99,17.867,0.228731
./input_files/dwt___66.txt,66,127,5,71,76,44,99,17.9772,0.224456
./input_files/dwt___66.txt,66,127,5,79,78,44,99,17.7813,0.223513
./input_files/dwt___66.txt,66,127,5,80,84,44,99,17.8256,0.223504
./input_files/dwt___66.txt,66,127,5,76,82,44,99,17.8937,0.213679
