graph_name,graph_order,graph_size,graph_max_degree,GA_Fitness_Heuristic1,ACO_Fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./input_files/e05r0300.txt,236,2847,61,104,156,16,354,39.1187,5.98948
./input_files/e05r0300.txt,236,2847,61,123,78,16,354,36.7822,1.62119
./input_files/e05r0300.txt,236,2847,61,119,82,16,354,37.636,1.59498
./input_files/e05r0300.txt,236,2847,61,123,92,16,354,36.1362,1.5885
./input_files/e05r0300.txt,236,2847,61,107,84,16,354,37.4003,1.6187
./input_files/e05r0300.txt,236,2847,61,151,96,16,354,37.0492,1.65405
./input_files/e05r0300.txt,236,2847,61,163,96,16,354,36.9801,1.67842
./input_files/e05r0300.txt,236,2847,61,155,88,16,354,37.1518,1.76061
./input_files/e05r0300.txt,236,2847,61,99,92,16,354,37.5253,1.75283
./input_files/e05r0300.txt,236,2847,61,99,88,16,354,37.1681,1.71084
