graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can73,73,152,2,8,120,63,32,109,0.569156,0.637958,1,1
can73,73,152,2,8,120,64,32,109,0.570075,0.0483079,1,1
can73,73,152,2,8,120,64,32,109,0.580845,0.0549528,1,1
can73,73,152,2,8,120,64,32,109,0.581216,0.0525968,1,1
can73,73,152,2,8,120,64,32,109,0.570781,0.0493913,1,1
can73,73,152,2,8,123,64,32,109,0.582468,0.0501342,1,1
can73,73,152,2,8,118,64,32,109,0.586047,0.0754426,1,1
can73,73,152,2,8,121,64,32,109,0.569144,0.0516193,1,1
can73,73,152,2,8,120,64,32,109,0.591006,0.0578581,1,1
can73,73,152,2,8,121,64,32,109,0.595104,0.0599455,1,1
