graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle2-order50,50,50,2,2,74,-1,75,0.0408163,0.0116188,1
cycle2-order50,50,50,2,2,73,-1,75,0.0408163,0.00772988,1
cycle2-order50,50,50,2,2,75,-1,75,0.0408163,0.00717595,1
cycle2-order50,50,50,2,2,75,-1,75,0.0408163,0.00662139,1
cycle2-order50,50,50,2,2,73,-1,75,0.0408163,0.00838805,1
cycle2-order50,50,50,2,2,75,-1,75,0.0408163,0.00695225,1
cycle2-order50,50,50,2,2,72,-1,75,0.0408163,0.00918992,1
cycle2-order50,50,50,2,2,75,-1,75,0.0408163,0.00660807,1
cycle2-order50,50,50,2,2,76,-1,75,0.0408163,0.011797,1
cycle2-order50,50,50,2,2,74,-1,75,0.0408163,0.00686518,1
cycle2-order50,50,50,2,2,73,-1,75,0.0408163,0.0195193,1
cycle2-order50,50,50,2,2,76,-1,75,0.0408163,0.0062965,1
cycle2-order50,50,50,2,2,75,-1,75,0.0408163,0.00723406,1
cycle2-order50,50,50,2,2,74,-1,75,0.0408163,0.00729598,1
cycle2-order50,50,50,2,2,74,-1,75,0.0408163,0.0071923,1
