graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.210382,1
path9-order225,225,224,1,2,355,-1,393,0.00888889,0.190595,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.205854,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.210228,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.160139,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.139504,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.209338,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.188821,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.141836,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.187811,1
path9-order225,225,224,1,2,337,-1,393,0.00888889,0.124002,1
path9-order225,225,224,1,2,336,-1,393,0.00888889,0.2085,1
path9-order225,225,224,1,2,349,-1,393,0.00888889,0.145225,1
path9-order225,225,224,1,2,334,-1,393,0.00888889,0.104088,1
path9-order225,225,224,1,2,338,-1,393,0.00888889,0.207184,1
