graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path6-order150,150,149,1,2,224,-1,262,0.0133333,0.0455048,1
path6-order150,150,149,1,2,229,-1,262,0.0133333,0.0245531,1
path6-order150,150,149,1,2,226,-1,262,0.0133333,0.0301601,1
path6-order150,150,149,1,2,228,-1,262,0.0133333,0.0310101,1
path6-order150,150,149,1,2,227,-1,262,0.0133333,0.0330994,1
path6-order150,150,149,1,2,228,-1,262,0.0133333,0.0436183,1
path6-order150,150,149,1,2,230,-1,262,0.0133333,0.0276045,1
path6-order150,150,149,1,2,230,-1,262,0.0133333,0.0310431,1
path6-order150,150,149,1,2,228,-1,262,0.0133333,0.0497593,1
path6-order150,150,149,1,2,225,-1,262,0.0133333,0.0679927,1
path6-order150,150,149,1,2,230,-1,262,0.0133333,0.0281483,1
path6-order150,150,149,1,2,228,-1,262,0.0133333,0.0266373,1
path6-order150,150,149,1,2,227,-1,262,0.0133333,0.0505068,1
path6-order150,150,149,1,2,227,-1,262,0.0133333,0.0411809,1
path6-order150,150,149,1,2,227,-1,262,0.0133333,0.0305717,1
