graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star8-order200,200,199,1,199,4,4,350,0.01,0.0312961,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0308559,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0297878,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0295358,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0297138,1
star8-order200,200,199,1,199,4,4,350,0.01,0.029561,1
star8-order200,200,199,1,199,4,4,350,0.01,0.029555,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0297472,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0298356,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0305797,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0306309,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0306631,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0303719,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0308504,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0307565,1
