graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star8-order200,200,199,1,199,4,4,350,0.01,0.0317004,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0309035,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0304512,1
star8-order200,200,199,1,199,4,4,350,0.01,0.030015,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0302621,1
star8-order200,200,199,1,199,4,4,350,0.01,0.029844,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0303876,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0301399,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0299397,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0298212,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0297595,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0301291,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0304984,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0300568,1
star8-order200,200,199,1,199,4,4,350,0.01,0.0312224,1
