graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree4_order100,100,99,1,5,142,66,175,0.02,0.00663119,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00990548,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00709266,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0147776,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0122213,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00928673,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00946591,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00772052,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00692701,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0140235,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00888273,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00706091,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.011223,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00713812,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0128864,1
