graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ck104,104,444,5,9,78,41,156,0.0828977,0.0259753,1
ck104,104,444,5,9,79,41,156,0.0828977,0.0316396,1
ck104,104,444,5,9,79,41,156,0.0828977,0.0221901,1
ck104,104,444,5,9,77,41,156,0.0828977,0.0229561,1
ck104,104,444,5,9,80,41,156,0.0828977,0.0234551,1
ck104,104,444,5,9,78,41,156,0.0828977,0.0280355,1
ck104,104,444,5,9,76,41,156,0.0828977,0.0361137,1
ck104,104,444,5,9,78,41,156,0.0828977,0.0215645,1
ck104,104,444,5,9,80,41,156,0.0828977,0.0269293,1
ck104,104,444,5,9,77,41,156,0.0828977,0.0372381,1
ck104,104,444,5,9,75,41,156,0.0828977,0.0235798,1
ck104,104,444,5,9,78,41,156,0.0828977,0.0279326,1
ck104,104,444,5,9,78,41,156,0.0828977,0.0248696,1
ck104,104,444,5,9,72,41,156,0.0828977,0.0294621,1
ck104,104,444,5,9,78,41,156,0.0828977,0.02575,1
