graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
olm100,100,197,2,5,141,66,150,0.039798,0.0143986,1
olm100,100,197,2,5,146,66,150,0.039798,0.0123765,1
olm100,100,197,2,5,142,66,150,0.039798,0.0209435,1
olm100,100,197,2,5,146,66,150,0.039798,0.00948537,1
olm100,100,197,2,5,141,66,150,0.039798,0.0227074,1
olm100,100,197,2,5,141,66,150,0.039798,0.0137295,1
olm100,100,197,2,5,144,66,150,0.039798,0.0131624,1
olm100,100,197,2,5,142,66,150,0.039798,0.01392,1
olm100,100,197,2,5,145,66,150,0.039798,0.0154273,1
olm100,100,197,2,5,143,66,150,0.039798,0.0136846,1
olm100,100,197,2,5,144,66,150,0.039798,0.0102359,1
olm100,100,197,2,5,145,66,150,0.039798,0.0133887,1
olm100,100,197,2,5,144,66,150,0.039798,0.0136155,1
olm100,100,197,2,5,143,66,150,0.039798,0.0116779,1
olm100,100,197,2,5,143,66,150,0.039798,0.0131153,1
