graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bfwa62,62,200,2,20,50,11,93,0.105764,0.00400317,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00402935,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00402914,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00401642,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00395817,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00399833,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00397579,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00402722,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00397781,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00396861,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00397708,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00393157,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00396208,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.00400081,1
bfwa62,62,200,2,20,50,11,93,0.105764,0.0040384,1
