graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cavity02,317,4237,8,61,258,20,475,0.0845945,0.220457,1
cavity02,317,4237,8,61,242,20,475,0.0845945,0.243895,1
cavity02,317,4237,8,61,224,20,475,0.0845945,0.292628,1
cavity02,317,4237,8,61,240,20,475,0.0845945,0.242196,1
cavity02,317,4237,8,61,222,20,475,0.0845945,0.243811,1
cavity02,317,4237,8,61,241,20,475,0.0845945,0.292481,1
cavity02,317,4237,8,61,217,20,475,0.0845945,0.230669,1
cavity02,317,4237,8,61,231,20,475,0.0845945,0.332105,1
cavity02,317,4237,8,61,250,20,475,0.0845945,0.222746,1
cavity02,317,4237,8,61,206,20,475,0.0845945,0.267472,1
cavity02,317,4237,8,61,229,20,475,0.0845945,0.272534,1
cavity02,317,4237,8,61,205,20,475,0.0845945,0.232992,1
cavity02,317,4237,8,61,233,20,475,0.0845945,0.206752,1
cavity02,317,4237,8,61,227,20,475,0.0845945,0.206366,1
cavity02,317,4237,8,61,229,20,475,0.0845945,0.232789,1
