graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__198,198,597,1,11,193,66,299,0.0306107,0.10751,1
dwt__198,198,597,1,11,191,66,299,0.0306107,0.179509,1
dwt__198,198,597,1,11,194,66,299,0.0306107,0.0984489,1
dwt__198,198,597,1,11,194,66,299,0.0306107,0.0897763,1
dwt__198,198,597,1,11,188,66,299,0.0306107,0.134993,1
dwt__198,198,597,1,11,195,66,299,0.0306107,0.084162,1
dwt__198,198,597,1,11,192,66,299,0.0306107,0.156787,1
dwt__198,198,597,1,11,192,66,299,0.0306107,0.149983,1
dwt__198,198,597,1,11,192,66,299,0.0306107,0.10422,1
dwt__198,198,597,1,11,195,66,299,0.0306107,0.105359,1
dwt__198,198,597,1,11,194,66,299,0.0306107,0.146956,1
dwt__198,198,597,1,11,195,66,299,0.0306107,0.166451,1
dwt__198,198,597,1,11,193,66,299,0.0306107,0.115123,1
dwt__198,198,597,1,11,195,66,299,0.0306107,0.102071,1
dwt__198,198,597,1,11,191,66,299,0.0306107,0.166398,1
