graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
olm100,100,197,2,5,144,66,150,0.039798,0.00945116,1
olm100,100,197,2,5,141,66,150,0.039798,0.0162521,1
olm100,100,197,2,5,143,66,150,0.039798,0.0146989,1
olm100,100,197,2,5,145,66,150,0.039798,0.0117401,1
olm100,100,197,2,5,143,66,150,0.039798,0.0101741,1
olm100,100,197,2,5,144,66,150,0.039798,0.0112469,1
olm100,100,197,2,5,144,66,150,0.039798,0.010173,1
olm100,100,197,2,5,143,66,150,0.039798,0.0111752,1
olm100,100,197,2,5,143,66,150,0.039798,0.0108734,1
olm100,100,197,2,5,143,66,150,0.039798,0.0151134,1
olm100,100,197,2,5,141,66,150,0.039798,0.01285,1
olm100,100,197,2,5,146,66,150,0.039798,0.00887804,1
olm100,100,197,2,5,145,66,150,0.039798,0.00854809,1
olm100,100,197,2,5,146,66,150,0.039798,0.00986302,1
olm100,100,197,2,5,143,66,150,0.039798,0.0113212,1
